"COLUMN1","time","date","mw"
"n2","07:45","2017-03-20","0.59"
"n2","09:00","2017-08-06","4.77"
"n2","16:30","2017-01-29","2.15"
"n2","01:45","2017-05-25","0"
"n2","02:00","2017-05-21","0"
"n2","17:30","2017-04-10","0.13"
"n2","02:45","2017-03-12","0"
"n2","10:00","2017-07-15","1.64"
"n2","19:15","2017-02-25","0.1"
"n2","04:30","2017-09-07","0"
"n2","04:30","2017-09-10","0.25"
"n2","08:30","2017-09-30","7.8"
"n2","18:00","2017-01-19","0"
"n2","07:00","2017-03-08","0.1"
"n2","12:45","2017-11-03","17.63"
"n2","10:00","2017-02-17","2.83"
"n2","10:30","2017-11-12","19.17"
"n2","00:30","2017-10-10","0.18"
"n2","00:30","2017-03-28","0.07"
"n2","01:00","2017-12-12","4.39"
"n2","18:15","2017-03-15","0.1"
"n2","02:00","2017-04-21","0"
"n2","19:30","2017-06-05","0"
"n2","15:30","2017-12-02","24.58"
"n2","06:15","2017-07-15","0"
"n2","09:45","2017-11-25","20.26"
"n2","22:30","2017-09-06","0"
"n2","18:45","2017-12-01","0.1"
"n2","23:15","2017-01-10","0"
"n2","10:00","2017-08-03","13.9"
"n2","07:45","2017-11-12","6.27"
"n2","17:00","2017-08-07","4.37"
"n2","05:00","2017-01-16","0"
"n2","08:00","2017-11-15","5.59"
"n2","10:15","2017-07-29","16.27"
"n2","23:00","2017-02-24","0"
"n2","03:00","2017-01-13","0"
"n2","11:15","2017-02-01","3.6"
"n2","21:30","2017-03-15","0.1"
"n2","03:45","2017-03-23","0.1"
"n2","03:45","2017-08-20","0"
"n2","13:00","2017-11-02","13.53"
"n2","01:15","2017-12-05","0.17"
"n2","20:45","2017-03-16","0.1"
"n2","20:45","2017-05-17","0"
"n2","08:45","2017-05-06","2.06"
"n2","10:45","2017-03-05","3.14"
"n2","16:15","2017-08-31","10.08"
"n2","08:45","2017-01-30","1.01"
"n2","17:45","2017-09-19","0.38"
"n2","03:30","2017-04-09","0.07"
"n2","18:45","2017-01-17","0"
"n2","18:45","2017-07-22","0"
"n2","23:45","2017-10-07","0"
"n2","10:45","2017-09-21","19.76"
"n2","03:00","2017-06-05","0"
"n2","10:30","2017-11-20","7.19"
"n2","11:30","2017-01-10","0"
"n2","10:15","2017-01-08","0"
"n2","12:45","2017-07-03","2.08"
"n2","01:15","2017-07-31","0"
"n2","03:15","2017-12-27","4.38"
"n2","19:45","2017-04-01","0.11"
"n2","05:00","2017-03-13","0"
"n2","05:00","2017-08-10","0.07"
"n2","18:30","2017-04-27","0.13"
"n2","08:45","2017-07-08","0.95"
"n2","16:15","2017-02-24","1.54"
"n2","03:15","2017-04-25","0.1"
"n2","06:00","2017-07-09","0"
"n2","11:45","2017-11-25","22.46"
"n2","01:15","2017-07-29","0"
"n2","06:15","2017-12-01","0"
"n2","14:15","2017-01-30","3.32"
"n2","21:45","2017-05-18","0"
"n2","22:45","2017-05-02","0"
"n2","18:15","2017-12-19","4.4"
"n2","15:15","2017-07-05","1.06"
"n2","02:00","2017-04-20","0"
"n2","03:30","2017-01-15","0"
"n2","00:00","2017-02-12","0"
"n2","14:15","2017-05-06","3.35"
"n2","21:00","2017-09-14","0.1"
"n2","18:30","2017-04-09","0.07"
"n2","08:30","2017-03-22","1.56"
"n2","16:00","2017-06-19","2.14"
"n2","01:30","2017-09-25","0.07"
"n2","12:15","2017-07-09","2.05"
"n2","10:30","2017-09-03","19.32"
"n2","05:00","2017-04-25","0.1"
"n2","21:15","2017-03-20","0"
"n2","04:00","2017-11-21","0.11"
"n2","19:45","2017-03-27","0.07"
"n2","23:30","2017-06-03","0"
"n2","11:30","2017-09-25","12.77"
"n2","14:45","2017-01-14","0"
"n2","17:30","2017-09-27","2.23"
"n2","10:45","2017-01-21","3.36"
"n2","01:45","2017-03-02","0"
"n2","02:30","2017-11-10","0.17"
"n2","03:00","2017-03-09","0.07"
"n2","10:15","2017-03-21","3.95"
"n2","05:45","2017-10-15","0"
"n2","14:45","2017-10-27","14.08"
"n2","04:30","2017-03-30","0"
"n2","00:30","2017-04-28","0.13"
"n2","22:00","2017-09-05","0.07"
"n2","01:15","2017-02-15","0"
"n2","04:30","2017-10-25","0"
"n2","00:45","2017-12-12","4.39"
"n2","02:30","2017-12-29","4.31"
"n2","08:15","2017-06-16","1.36"
"n2","01:45","2017-04-09","0.07"
"n2","01:15","2017-03-04","0"
"n2","18:45","2017-08-21","0"
"n2","12:30","2017-09-06","18.18"
"n2","07:15","2017-10-26","0.59"
"n2","16:15","2017-10-11","3.93"
"n2","02:00","2017-02-18","0"
"n2","02:00","2017-11-15","0"
"n2","03:30","2017-03-02","0"
"n2","16:45","2017-07-13","2.08"
"n2","01:00","2017-02-25","0"
"n2","02:45","2017-07-25","0.07"
"n2","07:00","2017-11-21","0.3"
"n2","03:30","2017-04-21","0"
"n2","12:45","2017-09-27","16.22"
"n2","12:45","2017-12-04","23.74"
"n2","12:15","2017-01-03","0"
"n2","12:15","2017-05-12","3.17"
"n2","03:00","2017-10-31","0.07"
"n2","07:45","2017-07-15","0.7"
"n2","18:00","2017-06-12","0"
"n2","11:45","2017-07-06","2.08"
"n2","07:30","2017-02-23","0.2"
"n2","10:45","2017-07-11","0"
"n2","01:45","2017-03-03","0"
"n2","20:00","2017-07-18","0.1"
"n2","04:00","2017-10-24","0.07"
"n2","06:15","2017-02-14","0"
"n2","19:15","2017-12-30","4.4"
"n2","05:00","2017-06-05","0"
"n2","13:15","2017-03-27","1.72"
"n2","12:15","2017-01-26","4.03"
"n2","16:00","2017-07-03","0.96"
"n2","06:30","2017-04-03","0"
"n2","13:45","2017-09-28","13.66"
"n2","04:45","2017-05-29","0"
"n2","16:45","2017-02-24","1"
"n2","14:30","2017-12-15","19.91"
"n2","13:45","2017-07-12","3.6"
"n2","08:30","2017-04-29","1.28"
"n2","23:45","2017-09-07","0.07"
"n2","16:15","2017-03-10","1.63"
"n2","04:00","2017-02-17","0"
"n2","20:15","2017-01-25","0.07"
"n2","09:00","2017-04-10","0.07"
"n2","21:15","2017-05-26","0"
"n2","01:00","2017-02-19","0"
"n2","02:15","2017-07-03","0"
"n2","13:15","2017-04-29","3.46"
"n2","09:00","2017-07-21","9.76"
"n2","23:45","2017-02-06","0"
"n2","04:00","2017-07-15","0"
"n2","22:45","2017-10-20","0.07"
"n2","04:15","2017-03-04","0"
"n2","13:15","2017-11-17","17.56"
"n2","13:30","2017-07-02","4.07"
"n2","02:15","2017-02-22","0.1"
"n2","11:45","2017-08-05","14.74"
"n2","02:15","2017-10-26","0.19"
"n2","06:15","2017-11-26","0.07"
"n2","04:45","2017-04-06","0"
"n2","05:00","2017-03-17","0.1"
"n2","00:00","2017-01-21","0"
"n2","23:15","2017-10-09","0.18"
"n2","00:30","2017-04-20","0"
"n2","00:45","2017-08-07","0"
"n2","02:00","2017-03-21","0"
"n2","01:15","2017-10-01","0"
"n2","22:30","2017-02-06","0"
"n2","02:30","2017-04-26","0"
"n2","10:45","2017-02-02","2.14"
"n2","04:00","2017-10-28","0.1"
"n2","09:30","2017-11-19","17.4"
"n2","13:30","2017-01-17","3.01"
"n2","11:00","2017-09-03","23.16"
"n2","17:45","2017-10-28","0"
"n2","22:00","2017-06-03","0"
"n2","22:15","2017-03-05","0"
"n2","04:00","2017-08-25","0.1"
"n2","03:15","2017-09-21","0.19"
"n2","13:15","2017-08-04","20.13"
"n2","20:30","2017-05-10","0.07"
"n2","17:30","2017-04-13","0.32"
"n2","08:30","2017-03-23","1.4"
"n2","08:30","2017-08-20","5.5"
"n2","08:15","2017-12-02","7.15"
"n2","15:30","2017-05-13","3"
"n2","21:45","2017-01-11","0"
"n2","23:00","2017-07-10","0"
"n2","09:00","2017-08-02","9.27"
"n2","13:15","2017-01-24","3.89"
"n2","11:00","2017-01-06","0"
"n2","06:30","2017-11-09","0.07"
"n2","17:30","2017-01-27","0.42"
"n2","13:00","2017-07-18","15.23"
"n2","20:30","2017-04-08","0.07"
"n2","01:15","2017-03-17","0.1"
"n2","22:45","2017-05-26","0"
"n2","21:45","2017-11-05","0.07"
"n2","09:15","2017-01-24","2.41"
"n2","10:30","2017-01-06","0"
"n2","12:45","2017-05-11","3.04"
"n2","00:15","2017-05-20","0"
"n2","09:00","2017-07-20","8.16"
"n2","01:00","2017-04-06","0"
"n2","22:15","2017-03-18","0"
"n2","23:15","2017-02-21","0.1"
"n2","11:00","2017-03-15","3.4"
"n2","14:00","2017-10-04","1.9"
"n2","20:30","2017-03-08","0.07"
"n2","21:00","2017-08-05","0.07"
"n2","03:00","2017-04-28","0.13"
"n2","21:45","2017-12-21","4.4"
"n2","15:45","2017-02-19","2.44"
"n2","04:45","2017-02-18","0"
"n2","03:30","2017-03-21","0"
"n2","09:15","2017-05-19","2.22"
"n2","06:00","2017-01-10","0"
"n2","18:00","2017-02-26","0"
"n2","08:30","2017-01-24","1.57"
"n2","07:15","2017-12-25","4.63"
"n2","16:30","2017-05-24","1.61"
"n2","14:15","2017-08-18","6.84"
"n2","10:45","2017-05-23","3.4"
"n2","13:15","2017-06-09","0.98"
"n2","05:45","2017-09-05","0"
"n2","17:00","2017-08-31","7.09"
"n2","09:45","2017-07-24","17.11"
"n2","19:00","2017-11-12","0.07"
"n2","06:45","2017-08-24","0.07"
"n2","04:45","2017-12-08","4.31"
"n2","22:00","2017-05-20","0"
"n2","04:15","2017-12-03","0.17"
"n2","00:30","2017-04-17","0"
"n2","20:15","2017-04-19","0"
"n2","11:30","2017-11-17","18.41"
"n2","22:00","2017-05-19","0"
"n2","20:30","2017-01-31","0"
"n2","02:45","2017-05-02","0"
"n2","06:00","2017-03-13","0"
"n2","06:00","2017-08-10","0.07"
"n2","00:00","2017-07-05","0"
"n2","08:45","2017-11-18","11.22"
"n2","02:30","2017-01-29","0"
"n2","00:15","2017-01-27","0.07"
"n2","00:30","2017-01-21","0"
"n2","06:30","2017-03-25","0.07"
"n2","22:00","2017-12-04","0.17"
"n2","11:45","2017-10-03","12.36"
"n2","09:30","2017-06-03","1.44"
"n2","16:15","2017-07-07","0.85"
"n2","06:00","2017-10-20","4.4"
"n2","17:45","2017-08-18","1.09"
"n2","22:15","2017-12-23","4.4"
"n2","17:30","2017-03-07","0.38"
"n2","13:45","2017-12-14","22.44"
"n2","08:15","2017-09-01","10.87"
"n2","23:30","2017-10-26","0"
"n2","18:45","2017-05-09","0.1"
"n2","01:00","2017-09-26","0.1"
"n2","06:15","2017-06-16","0"
"n2","16:45","2017-03-12","1.33"
"n2","23:45","2017-09-01","0.1"
"n2","13:00","2017-01-28","3.8"
"n2","20:00","2017-12-23","4.4"
"n2","08:45","2017-03-19","0.76"
"n2","18:45","2017-04-29","0"
"n2","18:15","2017-03-19","0"
"n2","01:45","2017-12-24","4.4"
"n2","03:45","2017-06-14","0"
"n2","20:30","2017-09-01","0.1"
"n2","06:45","2017-08-11","0.57"
"n2","00:00","2017-10-08","0"
"n2","22:30","2017-11-26","0.1"
"n2","21:45","2017-07-12","0"
"n2","15:00","2017-08-23","10.6"
"n2","16:00","2017-12-21","16.07"
"n2","23:30","2017-04-06","0"
"n2","02:15","2017-11-29","0.17"
"n2","05:15","2017-12-16","4.59"
"n2","13:00","2017-06-09","1.03"
"n2","14:00","2017-02-27","3.47"
"n2","23:45","2017-03-24","0.07"
"n2","19:30","2017-10-04","0"
"n2","19:45","2017-05-31","0"
