pretty,year,mon,mday,hour,min,tzname,utcdate,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado,metar
1:00 AM +07 on June 20,2017,2017,6,20,1,0,Asia/Bangkok,26,80,24,74,79,13,8.1,,,270,West,7,4,1008,29.77,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 19184 48376 11557 72707 10265 20236 39937 40081 51002 69923 71022 84576 333 58013 70002
4:00 AM +07 on June 20,2017,2017,6,20,4,0,Asia/Bangkok,25,77,23,73,85,0,0,,,,,6,4,1007,29.74,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 19214 48376 21556 80000 10252 20230 39926 40070 57011 76062 8452/ 333 58011 69967
7:00 AM +07 on June 20,2017,2017,6,20,7,0,Asia/Bangkok,25,78,24,74,85,0,0,,,,,6,4,1007,29.75,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 20004 48376 01556 70000 10254 20235 39929 40074 51004 60014 71062 83576 333 20248 58003 69927 70010
10:00 AM +07 on June 20,2017,2017,6,20,10,0,Asia/Bangkok,31,88,23,74,54,14.8,9.2,,,260,West,9,6,1008,29.77,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 20034 48376 31559 62608 10312 20232 39938 40080 51009 70522 83536 333 59005
1:00 PM +07 on June 20,2017,2017,6,20,13,0,Asia/Bangkok,31,88,23,73,52,11.1,6.9,,,270,West,9,6,1007,29.75,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 20064 48376 31559 72706 10312 20227 39932 40074 56006 70522 83536 333 58009 70010
4:00 PM +07 on June 20,2017,2017,6,20,16,0,Asia/Bangkok,31,88,23,74,55,9.3,5.8,,,270,West,8,5,1005,29.68,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 20094 48376 31558 62705 10310 20233 39907 40049 57025 70522 83536 333 58005
7:00 PM +07 on June 20,2017,2017,6,20,19,0,Asia/Bangkok,27,81,24,75,77,7.4,4.6,,,260,West,7,4,1006,29.72,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 20124 48376 01557 82604 10271 20239 39919 40063 52012 69942 72122 85576 333 10327 58006 69945 70014
10:00 PM +07 on June 20,2017,2017,6,20,22,0,Asia/Bangkok,26,79,23,74,79,7.4,4.6,,,220,SW,7,4,1008,29.76,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 20154 48376 21557 62204 10263 20231 39933 40078 52015 71062 83536 333 59001 69966
1:00 AM +07 on January 01,2017,2017,1,1,1,0,Asia/Bangkok,25,77,19,66,62,0,0,,,,,10,6,1017,30.03,-999,-999,-9999,-9999,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0,AAXX 31184 48380 11560 70000 10252 20191 30072 40167 54000 69903 70262 82556 333 59006 79999
4:00 AM +07 on January 01,2017,2017,1,1,4,0,Asia/Bangkok,24,75,20,68,73,0,0,,,,,10,6,1016,29.99,-999,-999,-9999,-9999,,,Overcast,cloudy,0,0,0,0,0,0,AAXX 31214 48380 32560 80000 10240 20200 30061 40156 57011 82557 333 59001
7:00 AM +07 on January 01,2017,2017,1,1,7,0,Asia/Bangkok,23,73,20,67,76,5.6,3.5,,,40,NE,9,6,1017,30.04,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 01004 48380 01559 80403 10226 20195 30076 40171 52015 69904 76022 84577 333 20172 58005 69905 79999
10:00 AM +07 on January 01,2017,2017,1,1,10,0,Asia/Bangkok,24,75,20,68,72,5.6,3.5,,,250,WSW,8,5,1019,30.08,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 01034 48380 21558 82503 10240 20198 30091 40186 52015 76066 85577 333 58003 69907
1:00 PM +07 on January 01,2017,2017,1,1,13,0,Asia/Bangkok,27,80,19,67,56,7.4,4.6,,,290,WNW,10,6,1016,30.01,-999,-999,-9999,-9999,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0,AAXX 01064 48380 01560 82904 10268 20194 30066 40160 57025 69901 70266 85576 333 58003 69907 79999
4:00 PM +07 on January 01,2017,2017,1,1,16,0,Asia/Bangkok,26,80,19,67,55,5.6,3.5,,,320,NW,10,6,1014,29.94,-999,-999,-9999,-9999,,,Overcast,cloudy,0,0,0,0,0,0,AAXX 01094 48380 32560 83203 10264 20193 30044 40139 57021 84576 333 58006
7:00 PM +07 on January 01,2017,2017,1,1,19,0,Asia/Bangkok,25,77,20,67,65,3.7,2.3,,,310,NW,10,6,1015,29.97,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 01124 48380 32560 63102 10250 20197 30054 40148 52009 82546 333 10272 58001 79999
10:00 PM +07 on January 01,2017,2017,1,1,22,0,Asia/Bangkok,24,74,20,68,76,0,0,,,,,10,6,1016,30.02,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 01154 48380 32560 60000 10236 20199 30070 40165 52016 82556 333 59001
1:00 AM +07 on January 02,2017,2017,1,2,1,0,Asia/Bangkok,23,73,19,67,75,5.6,3.5,,,270,West,10,6,1016,30.01,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 01184 48380 32560 72703 10226 20193 30066 40162 57004 82546 333 59005 79999
4:00 AM +07 on January 02,2017,2017,1,2,4,0,Asia/Bangkok,22,72,19,66,77,5.6,3.5,,,310,NW,10,6,1015,29.96,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 01214 48380 32560 53103 10224 20191 30051 40146 57015 81546 333 59010
7:00 AM +07 on January 02,2017,2017,1,2,7,0,Asia/Bangkok,22,71,19,66,81,0,0,,,,,10,6,1016,29.99,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 02004 48380 11960 60000 10216 20191 30061 40156 52010 69904 71022 83071 333 20215 59015 79999
10:00 AM +07 on January 02,2017,2017,1,2,10,0,Asia/Bangkok,26,79,19,66,56,11.1,6.9,,,280,West,10,6,1017,30.03,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 02034 48380 32560 22806 10260 20190 30073 40168 52013 81535 333 59018
1:00 PM +07 on January 02,2017,2017,1,2,13,0,Asia/Bangkok,31,87,21,69,46,5.6,3.5,,,0,North,12,7,1015,29.96,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 02064 48380 32562 33603 10308 20206 30053 40146 57020 82205 333 59014
4:00 PM +07 on January 02,2017,2017,1,2,16,0,Asia/Bangkok,30,85,20,67,46,0,0,,,,,12,7,1013,29.91,-999,-999,-9999,-9999,,,Overcast,cloudy,0,0,0,0,0,0,AAXX 02094 48380 32562 80000 10296 20195 30035 40128 57018 8457/ 333 59010
7:00 PM +07 on January 02,2017,2017,1,2,19,0,Asia/Bangkok,26,79,21,70,68,0,0,,,,,10,6,1014,29.94,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 02124 48380 32560 70000 10263 20213 30045 40139 52010 82576 333 10313 59010
10:00 PM +07 on January 02,2017,2017,1,2,22,0,Asia/Bangkok,23,74,21,69,80,0,0,,,,,10,6,1015,29.98,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 02154 48380 32960 50000 10232 20206 30056 40152 52012 82036 333 59014
1:00 AM +07 on January 03,2017,2017,1,3,1,0,Asia/Bangkok,22,72,21,69,89,0,0,,,,,10,6,1015,29.97,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 02184 48380 32960 50000 10225 20208 30054 40149 57003 82036 333 59013
4:00 AM +07 on January 03,2017,2017,1,3,4,0,Asia/Bangkok,22,72,20,67,81,0,0,,,,,10,6,1013,29.92,-999,-999,-9999,-9999,,,Clear,clear,0,0,0,0,0,0,AAXX 02214 48380 32960 20000 10223 20196 30035 40130 57019 80001 333 59016
7:00 AM +07 on January 03,2017,2017,1,3,7,0,Asia/Bangkok,22,71,21,69,92,0,0,,,,,10,6,1014,29.96,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 03004 48380 32560 70000 10218 20206 30049 40144 52014 81536 333 20217 59012
10:00 AM +07 on January 03,2017,2017,1,3,10,0,Asia/Bangkok,27,81,21,70,61,0,0,,,,,10,6,1015,29.99,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 03034 48380 32560 60000 10270 20210 30059 40153 52011 81536 333 59015
1:00 PM +07 on January 03,2017,2017,1,3,13,0,Asia/Bangkok,31,88,20,67,40,0,0,,,,,12,7,1013,29.91,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 03064 48380 32562 50000 10312 20195 30036 40129 57023 82535 333 59017
4:00 PM +07 on January 03,2017,2017,1,3,16,0,Asia/Bangkok,30,86,21,70,49,1.9,1.2,,,120,ESE,12,7,1011,29.86,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 03094 48380 32562 71201 10300 20210 30019 40112 57017 82576 333 59016
7:00 PM +07 on January 03,2017,2017,1,3,19,0,Asia/Bangkok,27,81,22,72,66,0,0,,,,,10,6,1012,29.89,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 03124 48380 32560 70000 10274 20220 30027 40121 52008 81576 333 10313 59018
10:00 PM +07 on January 03,2017,2017,1,3,22,0,Asia/Bangkok,25,78,23,73,79,0,0,,,,,10,6,1014,29.95,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 03154 48380 32560 70000 10253 20226 30046 40140 52019 82576 333 59011
1:00 AM +07 on January 04,2017,2017,1,4,1,0,Asia/Bangkok,23,73,22,71,91,0,0,,,,,5,3,1014,29.94,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 03184 48376 31550 20000 10230 20216 39992 40138 56004 71020 81505 333 59014
4:00 AM +07 on January 04,2017,2017,1,4,4,0,Asia/Bangkok,22,72,21,69,89,0,0,,,,,4,2,1012,29.89,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 03214 48376 31540 50000 10222 20208 39973 40120 57019 71020 82536 333 59015
7:00 AM +07 on January 04,2017,2017,1,4,7,0,Asia/Bangkok,22,72,21,69,89,0,0,,,,,5,3,1013,29.91,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 04004 48376 31550 60000 10220 20208 39982 40129 52009 71020 83536 333 20217 59015
10:00 AM +07 on January 04,2017,2017,1,4,10,0,Asia/Bangkok,26,79,22,71,70,3.7,2.3,,,280,West,5,3,1014,29.95,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 04034 48376 31550 62802 10260 20216 39996 40141 52014 71022 82536 333 59018
1:00 PM +07 on January 04,2017,2017,1,4,13,0,Asia/Bangkok,29,84,22,71,57,0,0,,,,,5,3,1012,29.88,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 04064 48376 31550 60000 10287 20217 39973 40117 57022 71022 82336 333 59011
4:00 PM +07 on January 04,2017,2017,1,4,16,0,Asia/Bangkok,29,85,20,68,48,5.6,3.5,,,90,East,6,4,1010,29.83,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 04094 48376 31556 60903 10292 20201 39956 40099 57017 70522 83336 333 59010
7:00 PM +07 on January 04,2017,2017,1,4,19,0,Asia/Bangkok,27,81,22,71,64,0,0,,,,,5,3,1012,29.88,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 04124 48376 31550 60000 10270 20216 39972 40117 52016 71022 82536 333 10300 59006
10:00 PM +07 on January 04,2017,2017,1,4,22,0,Asia/Bangkok,24,75,21,70,80,0,0,,,,,3,2,1015,29.98,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 04154 48376 21530 80000 10238 20211 30004 40150 52032 76162 8552/ 333 58009 60146
1:00 AM +07 on January 05,2017,2017,1,5,1,0,Asia/Bangkok,20,69,19,67,89,7.4,4.6,,,320,NW,4,2,1015,29.96,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 04184 48376 01540 83204 10203 20192 39998 40146 56006 60243 71062 8452/ 333 58008 60107 70240
4:00 AM +07 on January 05,2017,2017,1,5,4,0,Asia/Bangkok,20,69,19,66,88,5.6,3.5,,,310,NW,4,2,1013,29.91,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 04214 48376 31540 63103 10203 20190 39979 40127 57019 71022 83536 333 58007
7:00 AM +07 on January 05,2017,2017,1,5,7,0,Asia/Bangkok,20,69,19,66,87,0,0,,,,,3,2,1013,29.92,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 05004 48376 11530 80000 10205 20189 39984 40132 51005 60244 71022 8552/ 333 20201 58003 70240
10:00 AM +07 on January 05,2017,2017,1,5,10,0,Asia/Bangkok,22,71,19,65,78,7.4,4.6,,,330,NNW,4,2,1015,29.98,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 05034 48376 31540 83304 10215 20186 30005 40152 52021 71022 8552/ 333 58011
1:00 PM +07 on January 05,2017,2017,1,5,13,0,Asia/Bangkok,23,73,19,67,75,9.3,5.8,,,320,NW,4,2,1013,29.93,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 05064 48376 31540 83205 10227 20192 39987 40134 57017 71022 8452/ 333 58017 70240
4:00 PM +07 on January 05,2017,2017,1,5,16,0,Asia/Bangkok,23,74,21,70,83,0,0,,,,,4,2,1012,29.88,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 05094 48376 31540 60000 10232 20211 39972 40118 57016 71022 83536 333 58019
7:00 PM +07 on January 05,2017,2017,1,5,19,0,Asia/Bangkok,22,72,20,67,81,0,0,,,,,4,2,1013,29.91,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 05124 48376 31540 70000 10221 20196 39981 40128 51009 71022 83536 333 10240 58012 70240
10:00 PM +07 on January 05,2017,2017,1,5,22,0,Asia/Bangkok,22,71,20,68,87,7.4,4.6,,,310,NW,3,2,1014,29.95,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 05154 48376 21530 83104 10215 20199 39992 40140 52011 72122 8552/ 333 59010 69925
1:00 AM +07 on January 06,2017,2017,1,6,1,0,Asia/Bangkok,21,70,20,67,88,0,0,,,,,3,2,1012,29.9,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 05184 48376 01530 80000 10209 20196 39976 40124 57016 69933 71062 8452/ 333 59022 69917 70003
4:00 AM +07 on January 06,2017,2017,1,6,4,0,Asia/Bangkok,21,70,20,67,88,0,0,,,,,3,2,1012,29.88,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 05214 48376 31530 60000 10209 20195 39971 40118 56005 71022 83576 333 59008
7:00 AM +07 on January 06,2017,2017,1,6,7,0,Asia/Bangkok,21,69,19,67,90,0,0,,,,,3,2,1012,29.9,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 06004 48376 11530 70000 10207 20193 39977 40125 51006 69934 71022 84576 333 20205 59007 70003
10:00 AM +07 on January 06,2017,2017,1,6,10,0,Asia/Bangkok,24,76,20,69,72,5.6,3.5,,,330,NNW,5,3,1014,29.96,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 06034 48376 31550 63303 10244 20204 39998 40144 52021 71022 82536 333 59008
1:00 PM +07 on January 06,2017,2017,1,6,13,0,Asia/Bangkok,27,81,18,65,49,7.4,4.6,,,320,NW,6,4,1012,29.88,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 06064 48376 31556 63204 10270 20184 39973 40118 57025 70522 83536 333 59016 70003
4:00 PM +07 on January 06,2017,2017,1,6,16,0,Asia/Bangkok,27,81,19,67,53,3.7,2.3,,,310,NW,6,4,1010,29.82,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 06094 48376 31556 63102 10271 20194 39952 40096 57021 70522 82536 333 59022
7:00 PM +07 on January 06,2017,2017,1,6,19,0,Asia/Bangkok,24,76,19,67,66,0,0,,,,,5,3,1011,29.86,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 06124 48376 31550 60000 10245 20194 39965 40110 52012 71022 82536 333 10277 59018 70003
10:00 PM +07 on January 06,2017,2017,1,6,22,0,Asia/Bangkok,23,73,19,67,75,0,0,,,,,5,3,1013,29.91,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 06154 48376 31550 60000 10227 20192 39980 40127 52015 71022 82536 333 59013
1:00 AM +07 on January 07,2017,2017,1,7,1,0,Asia/Bangkok,24,74,19,66,70,5.6,3.5,,,330,NNW,10,6,1011,29.87,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 06184 48380 32960 23303 10236 20189 30018 40113 57007 81045 333 59012
4:00 AM +07 on January 07,2017,2017,1,7,4,0,Asia/Bangkok,23,73,19,67,75,3.7,2.3,,,340,NNW,10,6,1010,29.84,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 06214 48380 32560 23402 10229 20193 30008 40103 57010 81545 333 59010
7:00 AM +07 on January 07,2017,2017,1,7,7,0,Asia/Bangkok,22,72,19,67,79,5.6,3.5,,,340,NNW,10,6,1010,29.84,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 07004 48380 32560 73403 10225 20194 30008 40103 52001 82576 333 20221 59016
10:00 AM +07 on January 07,2017,2017,1,7,10,0,Asia/Bangkok,27,80,19,67,56,7.4,4.6,,,330,NNW,10,6,1012,29.89,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 07034 48380 32560 13304 10268 20194 30028 40122 52019 81141 333 59021
1:00 PM +07 on January 07,2017,2017,1,7,13,0,Asia/Bangkok,31,87,20,68,43,5.6,3.5,,,290,WNW,10,6,1009,29.8,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 07064 48380 32560 12903 10307 20198 39999 40091 57029 81102 333 59022
4:00 PM +07 on January 07,2017,2017,1,7,16,0,Asia/Bangkok,31,88,20,68,41,0,0,,,,,10,6,1007,29.75,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 07094 48380 32560 50000 10313 20198 39980 40072 57019 82546 333 59021
7:00 PM +07 on January 07,2017,2017,1,7,19,0,Asia/Bangkok,28,83,22,71,59,0,0,,,,,10,6,1008,29.76,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 07124 48380 32560 50000 10282 20216 39985 40078 52005 81546 333 10321 59027
10:00 PM +07 on January 07,2017,2017,1,7,22,0,Asia/Bangkok,25,77,22,71,77,0,0,,,,,10,6,1010,29.84,-999,-999,-9999,-9999,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0,AAXX 07154 48380 32560 30000 10250 20217 30009 40103 52024 81545 333 59018
1:00 AM +07 on January 08,2017,2017,1,8,1,0,Asia/Bangkok,23,74,20,69,79,0,0,,,,,4,2,1010,29.83,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 07184 48376 31940 00000 10232 20204 39956 40102 56004 71000 333 59016
4:00 AM +07 on January 08,2017,2017,1,8,4,0,Asia/Bangkok,22,72,20,67,81,0,0,,,,,4,2,1009,29.8,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 07214 48376 31940 00000 10222 20197 39945 40091 57010 71000 333 59014
7:00 AM +07 on January 08,2017,2017,1,8,7,0,Asia/Bangkok,22,71,19,67,83,5.6,3.5,,,280,West,4,2,1011,29.85,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 08004 48376 31540 62803 10216 20194 39959 40106 52014 71020 82536 333 20213 59006
10:00 AM +07 on January 08,2017,2017,1,8,10,0,Asia/Bangkok,25,77,20,69,68,5.6,3.5,,,300,WNW,5,3,1013,29.91,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 08034 48376 31550 63003 10252 20203 39983 40129 52025 71022 82536 333 58003
1:00 PM +07 on January 08,2017,2017,1,8,13,0,Asia/Bangkok,29,84,20,68,50,5.6,3.5,,,320,NW,6,4,1010,29.83,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 08064 48376 31556 53203 10290 20202 39957 40100 57026 70522 82536 333 58006
4:00 PM +07 on January 08,2017,2017,1,8,16,0,Asia/Bangkok,31,87,22,71,50,0,0,,,,,6,4,1007,29.75,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 08094 48376 31556 60000 10306 20217 39931 40074 57025 70522 82336 333 58002
7:00 PM +07 on January 08,2017,2017,1,8,19,0,Asia/Bangkok,27,81,23,73,71,0,0,,,,,5,3,1009,29.79,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 08124 48376 31950 20000 10270 20229 39943 40087 52011 71020 80005 333 10310 58004
10:00 PM +07 on January 08,2017,2017,1,8,22,0,Asia/Bangkok,25,76,22,72,84,0,0,,,,,5,3,1011,29.85,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 08154 48376 31950 20000 10246 20222 39960 40106 52018 71000 80005 333 58001
1:00 AM +07 on January 09,2017,2017,1,9,1,0,Asia/Bangkok,23,74,22,71,86,0,0,,,,,5,3,1010,29.84,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 08184 48376 31950 20000 10233 20215 39959 40105 56001 71000 80005 333 58004
4:00 AM +07 on January 09,2017,2017,1,9,4,0,Asia/Bangkok,23,73,22,71,90,0,0,,,,,4,2,1009,29.81,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 08214 48376 31940 20000 10230 20215 39945 40092 57014 71000 80005 333 58000
7:00 AM +07 on January 09,2017,2017,1,9,7,0,Asia/Bangkok,24,75,21,70,79,0,0,,,,,4,2,1010,29.83,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 09004 48376 31540 80000 10240 20209 39954 40100 51009 71020 8452/ 333 20226 59006
10:00 AM +07 on January 09,2017,2017,1,9,10,0,Asia/Bangkok,25,77,22,71,76,0,0,,,,,6,4,1012,29.9,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 09034 48376 31556 80000 10252 20216 39979 40125 52025 71022 85576 333 59004
1:00 PM +07 on January 09,2017,2017,1,9,13,0,Asia/Bangkok,27,81,22,71,64,3.7,2.3,,,300,WNW,6,4,1010,29.83,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 09064 48376 31556 63002 10273 20215 39956 40100 57023 71022 82536 333 58000
4:00 PM +07 on January 09,2017,2017,1,9,16,0,Asia/Bangkok,29,83,22,71,60,3.7,2.3,,,320,NW,5,3,1008,29.77,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 09094 48376 31550 63202 10286 20218 39935 40079 57021 71022 83536 333 58005
7:00 PM +07 on January 09,2017,2017,1,9,19,0,Asia/Bangkok,26,80,23,73,74,0,0,,,,,5,3,1009,29.8,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 09124 48376 31550 60000 10265 20228 39945 40090 52010 71022 82536 333 10296 58003
10:00 PM +07 on January 09,2017,2017,1,9,22,0,Asia/Bangkok,25,77,23,73,84,0,0,,,,,5,3,1011,29.86,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 09154 48376 31550 70000 10250 20228 39965 40110 52020 71022 84576 333 58004
1:00 AM +07 on January 10,2017,2017,1,10,1,0,Asia/Bangkok,24,76,22,72,85,0,0,,,,,4,2,1011,29.86,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 09184 48376 01540 80000 10242 20224 39964 40109 56001 69903 76022 8452/ 333 58004 69905 79999
4:00 AM +07 on January 10,2017,2017,1,10,4,0,Asia/Bangkok,24,75,23,73,90,0,0,,,,,4,2,1009,29.81,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 09214 48376 21540 80000 10239 20226 39947 40093 57017 72162 8452/ 333 58001 69967
7:00 AM +07 on January 10,2017,2017,1,10,7,0,Asia/Bangkok,23,73,22,71,93,0,0,,,,,3,2,1010,29.84,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 10004 48376 11530 60000 10230 20219 39959 40105 52012 69964 71062 84576 333 20226 58005 70006
10:00 AM +07 on January 10,2017,2017,1,10,10,0,Asia/Bangkok,24,75,23,73,90,0,0,,,,,3,2,1012,29.9,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 10034 48376 21530 80000 10238 20226 39979 40125 52020 72122 84576 333 58001 69935
1:00 PM +07 on January 10,2017,2017,1,10,13,0,Asia/Bangkok,24,75,23,73,92,0,0,,,,,3,2,1011,29.86,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 10064 48376 01530 70000 10240 20228 39963 40109 57016 60011 71062 84576 333 58009 60016 70019
4:00 PM +07 on January 10,2017,2017,1,10,16,0,Asia/Bangkok,26,79,23,73,78,0,0,,,,,4,2,1009,29.79,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 10094 48376 31540 70000 10263 20229 39944 40088 57019 71022 84576 333 58010
7:00 PM +07 on January 10,2017,2017,1,10,19,0,Asia/Bangkok,25,78,24,74,86,0,0,,,,,4,2,1010,29.83,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 10124 48376 31540 70000 10254 20236 39955 40100 52011 71022 83576 333 10268 58010 70019
10:00 PM +07 on January 10,2017,2017,1,10,22,0,Asia/Bangkok,24,76,23,74,91,0,0,,,,,3,2,1012,29.87,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 10154 48376 21530 80000 10242 20233 39970 40115 52015 72162 8552/ 333 58005 69967
1:00 AM +07 on January 11,2017,2017,1,11,1,0,Asia/Bangkok,24,75,23,73,93,0,0,,,,,3,2,1011,29.86,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 10184 48376 01530 80000 10237 20230 39963 40109 56006 60033 76062 8552/ 333 58000 69967 70031
4:00 AM +07 on January 11,2017,2017,1,11,4,0,Asia/Bangkok,23,73,22,72,98,0,0,,,,,2,1,1009,29.81,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 10214 48376 21520 80000 10230 20225 39948 40094 57016 71062 8552/ 333 58001 60047
